,Unnamed: 0,ra,dec,u_extendedness,u_mag,g_extendedness,g_mag,r_extendedness,r_mag,i_extendedness,i_mag,z_extendedness,z_mag
102,102,229.2289714999364,5.248626954062512,,,1.0,20.93141950973248,1.0,20.003648808431656,1.0,19.905396436441507,1.0,19.410225416011887
103,103,229.23280627897645,5.248807060459268,,,1.0,20.912335534780368,1.0,20.00906286488826,1.0,19.648408304946933,1.0,19.21374559005
104,104,229.20852261118674,5.248826346922692,,,1.0,22.832485469708285,1.0,21.510204413744297,1.0,20.92640641782192,1.0,20.115446554209974
105,105,229.19674952693092,5.24893057424823,,,1.0,23.619548937717006,1.0,23.01292777180332,1.0,22.858753557480416,1.0,22.66858112864147
106,106,229.21678441322447,5.25072102365748,,,1.0,20.31141153426222,1.0,20.124254631662502,1.0,19.92492500862919,1.0,19.806947314706814
107,107,229.23438375069333,5.2563535327690625,,,1.0,21.08404007282889,,,1.0,18.534842634071577,1.0,17.964957263389557
108,108,229.2305875993575,5.255303836563435,,,1.0,21.96362650478564,1.0,21.42057306687887,1.0,21.149038459856747,1.0,20.989506269444583
109,109,229.20892126925216,5.258461249104177,1.0,22.957046677300195,1.0,21.001046199024263,1.0,20.06397957134053,1.0,19.718850575673702,1.0,19.402000178391138
110,110,229.21681353841205,5.2622015697237154,1.0,23.73562729324312,1.0,22.852214656294557,1.0,22.13417893558401,1.0,22.004608889860727,1.0,21.73442085339
111,111,229.23450099961752,5.262412123877731,,,,,,,,,,
112,112,229.22853958761422,5.2632973910491385,1.0,24.88762474794113,1.0,23.918097536635813,1.0,23.07504076811746,1.0,22.566771514467877,1.0,22.04041410491932
113,113,229.201036934614,5.264791282054627,1.0,22.67541723829184,1.0,22.1903949548787,1.0,21.846678071306503,1.0,21.49683211327389,1.0,21.66263393978041
114,114,229.2299153944052,5.2683069445361665,1.0,22.461510884058345,1.0,22.845983139087345,1.0,22.163558544144003,1.0,22.037326680201,1.0,21.75512739992342
115,115,229.22253064286252,5.268712503841399,1.0,23.538194460739064,1.0,23.529170618023045,1.0,23.160786470166013,1.0,21.73811683920828,1.0,20.973635785034823
116,116,229.1951855502516,5.279988392613402,,,,,,,,,,
117,117,229.22566807843052,5.2761712106397605,1.0,22.742510735348542,1.0,20.28076959211996,1.0,19.316120946928837,1.0,18.88682769637469,1.0,18.539017315892263
118,118,229.23114541558604,5.2758812634930425,1.0,23.55159351263941,1.0,22.66530380701864,1.0,21.805113087847783,1.0,21.616140009736256,1.0,21.265608016224068
119,119,229.22821104002438,5.2764832467015,1.0,inf,1.0,24.24775683671449,1.0,22.11173792852681,1.0,21.795698576747164,1.0,21.316301734188823
120,120,229.21399807577183,5.28487603473365,1.0,21.67638215984368,1.0,21.10441676577856,1.0,20.413700795621125,1.0,20.08064491165724,1.0,19.78568297839705
121,121,229.20847222222216,5.288172991406103,1.0,23.86711407865965,1.0,23.08347034853837,1.0,22.336471070760897,1.0,21.6143105682865,1.0,21.822185008110164
122,122,229.27148816220108,5.190898740716731,,,1.0,23.15174498622193,,,1.0,22.42615108801461,1.0,21.897806603650825
123,123,229.27449829353034,5.192225388371123,,,1.0,,,,1.0,23.60687553882196,1.0,25.59525295187692
124,124,229.26842068729843,5.193106981496181,,,1.0,24.15227289087938,,,1.0,22.71970643655351,1.0,22.685998331951144
125,125,229.26857126308343,5.197221042635703,,,,23.724937107416228,,,,24.792071519140897,,22.218646973155003
126,126,229.26235226699055,5.200973256848183,,,1.0,23.519175823424654,,,1.0,22.474496382850585,1.0,22.787449843273
127,127,229.2694622132622,5.201596490673426,,,1.0,23.497107119311835,,,1.0,22.861078231550657,1.0,23.347234520224863
128,128,229.24852016888104,5.2034912233971635,,,1.0,20.25650429101516,,,1.0,19.467521370887365,1.0,19.022115708280914
129,129,229.27978111415598,5.206515633676702,,,1.0,22.27900679855912,,,1.0,21.159993567123912,1.0,20.85825471320654
130,130,229.24664690733405,5.206000120931389,,,1.0,23.591587711239765,,,1.0,22.396696512657257,1.0,22.34455938981389
131,131,229.27079824350025,5.20892054641381,,,1.0,23.57400219262003,,,1.0,21.740241194892874,1.0,20.67279332522865
132,132,229.2610732509525,5.209823608724345,,,1.0,23.079174172722013,,,1.0,21.31924636791814,1.0,20.93024193950002
133,133,229.28663978437223,5.210613227999926,,,,,,,,,,
134,134,229.19603336525688,5.210245494321667,,,,,,,,23.318238611013136,,27.90077860111076
135,135,229.27315166508942,5.210056764489451,,,1.0,24.99576888888398,,,1.0,22.709829372627414,1.0,22.37635649409379
136,136,229.2625777438738,5.213211834089349,,,1.0,22.29255460054284,,,1.0,20.05299218896552,1.0,19.55568465140705
137,137,229.26019269632715,5.21338654438309,,,1.0,23.321899171468104,,,1.0,22.71764779003787,1.0,22.090752005020704
138,138,229.2682721926818,5.214268119292427,,,1.0,22.754143245822423,,,1.0,21.96152512908008,1.0,21.443648335540964
139,139,229.2435305934246,5.215432126306953,,,1.0,24.378562364742685,,,1.0,21.65162627855724,1.0,20.87554664528598
140,140,229.23254949029734,5.21743473330735,,,1.0,24.080389192419297,1.0,23.90761999698201,1.0,22.138224930604544,1.0,21.15336592589752
141,141,229.19787752515714,5.218078494874329,,,1.0,24.7097482423892,1.0,26.85217894750099,1.0,22.948293519298343,1.0,23.683227752867488
142,142,229.28666261768277,5.21901087284844,,,,,,,,,,
143,143,229.28627068539242,5.220517290927072,,,,,,,,,,
144,144,229.25115989078245,5.220290032017003,,,1.0,23.60542368681498,,,1.0,21.265091810245917,1.0,20.99002921072791
145,145,229.27725978147976,5.221214155172194,,,1.0,23.960190038313147,,,1.0,22.55745339338469,1.0,22.467037467470263
146,146,229.27602473577622,5.222544489606642,,,1.0,23.678620965941107,,,1.0,21.935524157211574,1.0,21.801930327347428
147,147,229.25909890661566,5.22332522915695,,,1.0,24.127410747202447,,,1.0,22.44291156019583,1.0,21.67314834928984
148,148,229.26806403407414,5.224627377146565,,,1.0,23.182218100937213,,,1.0,22.29077369727046,1.0,21.851336607780315
149,149,229.23142197869336,5.22466348493834,,,1.0,23.410031915470668,1.0,23.71202772743431,1.0,22.626661687651414,1.0,23.07745311310347
150,150,229.28672495344358,5.225632237311933,,,,,,,,,,
151,151,229.24626063149506,5.226954906402703,,,1.0,23.082674439706675,,,1.0,22.441615662292858,1.0,22.642073378570377
152,152,229.26753673587558,5.229104680332478,,,1.0,19.41016214040246,,,1.0,19.488291816825036,1.0,19.373539299988927
153,153,229.23875191511678,5.2275710190902895,,,1.0,24.843905022047828,,,1.0,23.08006799805662,1.0,22.55236225848675
154,154,229.26415694934676,5.230751079326516,,,1.0,22.63608966246931,,,1.0,21.38032053119285,1.0,21.06445582190385
155,155,229.2506184857137,5.231112360041183,,,1.0,22.81884466479079,,,1.0,21.65571107646374,1.0,21.413430387988733
156,156,229.24497113551232,5.231610480462833,,,1.0,23.959638927503107,,,1.0,22.8316764428784,1.0,22.471741922177685
157,157,229.25342306710326,5.232901351522196,,,1.0,23.122711666099445,,,1.0,22.55085092051853,1.0,
158,158,229.26177250172387,5.236884924571118,,,1.0,22.808903490255418,,,1.0,21.539957446898303,1.0,21.609402186273144
159,159,229.28692094883942,5.238750934948569,,,,,,,,,,
